Plataforma,Dirección,Zona,Tienda,Producto,Product_ID,Precio,Precio_Original,Descuento_%,Encontrado,Disponible,Tiempo_Entrega,Rating
uber_eats,Condesa - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,102.77,,,True,True,17-34 min,4.8
uber_eats,Condesa - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,190.79,,,True,True,17-34 min,4.8
uber_eats,Condesa - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,117.54,,,True,True,17-34 min,4.8
uber_eats,Roma Norte - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,119.21,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,185.77,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,112.34,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,Burger King,Whopper,ff_04,131.3,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,208.18,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,33.35,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,29.94,,,True,True,17-34 min,4.1
uber_eats,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,340.03,,,True,True,17-34 min,4.1
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,Big Mac,ff_01,121.31,,,True,True,17-34 min,4.3
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,Combo Mediano Big Mac,ff_02,206.83,,,True,True,17-34 min,4.3
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,McNuggets 10 piezas,ff_03,116.26,,,True,True,17-34 min,4.3
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,Burger King,Whopper,ff_04,116.64,,,True,True,17-34 min,4.2
uber_eats,Santa Fe - Alto Ingreso/Corporativo,premium,Burger King,Combo Whopper Mediano,ff_05,225.28,,,True,True,17-34 min,4.2
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,124.46,,,True,True,17-34 min,4.5
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,182.15,242.87,25.0,True,True,17-34 min,4.5
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,122.74,,,True,True,17-34 min,4.5
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,Burger King,Whopper,ff_04,135.37,,,True,True,17-34 min,3.9
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,183.9,245.2,25.0,True,True,17-34 min,3.9
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,31.27,,,True,True,17-34 min,4.3
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,30.22,,,True,True,17-34 min,4.3
uber_eats,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,323.96,,,True,True,17-34 min,4.3
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,Burger King,Whopper,ff_04,110.5,,,True,True,18-36 min,4.0
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,Burger King,Combo Whopper Mediano,ff_05,175.99,,,True,True,18-36 min,4.0
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,20.71,,,True,True,18-36 min,4.8
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,18.89,,,True,True,18-36 min,4.8
uber_eats,Del Valle Centro - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,331.9,442.53,25.0,True,True,18-36 min,4.8
uber_eats,Narvarte - Clase Media,middle,McDonald's,Big Mac,ff_01,102.8,,,True,True,20-40 min,4.4
uber_eats,Narvarte - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,132.8,,,True,True,20-40 min,4.4
uber_eats,Narvarte - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,94.88,,,True,True,20-40 min,4.4
uber_eats,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,23.27,,,True,True,20-40 min,4.7
uber_eats,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,13.37,,,True,True,20-40 min,4.7
uber_eats,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,318.04,,,True,True,20-40 min,4.7
uber_eats,Coyoacán Centro - Clase Media,middle,Burger King,Whopper,ff_04,91.55,,,True,True,20-40 min,4.6
uber_eats,Coyoacán Centro - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,196.24,218.04,10.0,True,True,20-40 min,4.6
uber_eats,Coyoacán Centro - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,26.34,35.12,25.0,True,True,20-40 min,4.5
uber_eats,Coyoacán Centro - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,15.29,,,True,True,20-40 min,4.5
uber_eats,Coyoacán Centro - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,199.35,,,True,True,20-40 min,4.5
uber_eats,Tlalpan Centro - Clase Media,middle,McDonald's,Big Mac,ff_01,102.55,,,True,True,20-40 min,4.3
uber_eats,Tlalpan Centro - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,143.64,,,True,True,20-40 min,4.3
uber_eats,Tlalpan Centro - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,120.14,,,True,True,20-40 min,4.3
uber_eats,Tlalpan Centro - Clase Media,middle,Burger King,Whopper,ff_04,119.12,,,True,True,20-40 min,4.8
uber_eats,Tlalpan Centro - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,169.87,,,True,True,20-40 min,4.8
uber_eats,Tlalpan Centro - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,17.26,20.31,15.0,True,True,20-40 min,3.9
uber_eats,Tlalpan Centro - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,16.86,21.07,20.0,True,True,20-40 min,3.9
uber_eats,Tlalpan Centro - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,191.6,255.47,25.0,True,True,20-40 min,3.9
uber_eats,Coapa - Clase Media,middle,McDonald's,Big Mac,ff_01,97.5,121.88,20.0,True,True,20-40 min,4.3
uber_eats,Coapa - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,157.44,,,True,True,20-40 min,4.3
uber_eats,Coapa - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,95.44,,,True,True,20-40 min,4.3
uber_eats,Coapa - Clase Media,middle,Burger King,Whopper,ff_04,105.9,,,True,True,20-40 min,4.7
uber_eats,Coapa - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,144.33,,,True,True,20-40 min,4.7
uber_eats,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,30.37,,,True,True,20-40 min,4.8
uber_eats,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,12.52,,,True,True,20-40 min,4.8
uber_eats,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,288.75,,,True,True,20-40 min,4.8
uber_eats,Reforma - Zona de Oficinas,business,McDonald's,Big Mac,ff_01,118.36,,,True,True,18-36 min,4.4
uber_eats,Reforma - Zona de Oficinas,business,McDonald's,Combo Mediano Big Mac,ff_02,161.18,,,True,True,18-36 min,4.4
uber_eats,Reforma - Zona de Oficinas,business,McDonald's,McNuggets 10 piezas,ff_03,119.84,159.79,25.0,True,True,18-36 min,4.4
uber_eats,Reforma - Zona de Oficinas,business,Burger King,Whopper,ff_04,96.73,,,True,True,18-36 min,4.3
uber_eats,Reforma - Zona de Oficinas,business,Burger King,Combo Whopper Mediano,ff_05,194.74,,,True,True,18-36 min,4.3
uber_eats,Insurgentes Sur - Zona de Oficinas,business,Burger King,Whopper,ff_04,116.77,,,True,True,18-36 min,4.0
uber_eats,Insurgentes Sur - Zona de Oficinas,business,Burger King,Combo Whopper Mediano,ff_05,187.58,,,True,True,18-36 min,4.0
uber_eats,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,28.81,,,True,True,18-36 min,4.8
uber_eats,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,16.92,18.8,10.0,True,True,18-36 min,4.8
uber_eats,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,204.84,,,True,True,18-36 min,4.8
uber_eats,Centro Histórico,commercial,McDonald's,Big Mac,ff_01,102.44,,,True,True,19-38 min,4.5
uber_eats,Centro Histórico,commercial,McDonald's,Combo Mediano Big Mac,ff_02,179.91,,,True,True,19-38 min,4.5
uber_eats,Centro Histórico,commercial,McDonald's,McNuggets 10 piezas,ff_03,120.08,,,True,True,19-38 min,4.5
uber_eats,Centro Histórico,commercial,Burger King,Whopper,ff_04,118.59,,,True,True,19-38 min,4.8
uber_eats,Centro Histórico,commercial,Burger King,Combo Whopper Mediano,ff_05,157.5,,,True,True,19-38 min,4.8
uber_eats,Zona Rosa,commercial,McDonald's,Big Mac,ff_01,100.57,111.74,10.0,True,True,19-38 min,4.3
uber_eats,Zona Rosa,commercial,McDonald's,Combo Mediano Big Mac,ff_02,191.8,,,True,True,19-38 min,4.3
uber_eats,Zona Rosa,commercial,McDonald's,McNuggets 10 piezas,ff_03,134.75,,,True,True,19-38 min,4.3
uber_eats,Zona Rosa,commercial,Burger King,Whopper,ff_04,108.46,,,True,True,19-38 min,4.3
uber_eats,Zona Rosa,commercial,Burger King,Combo Whopper Mediano,ff_05,201.12,,,True,True,19-38 min,4.3
uber_eats,Zona Rosa,commercial,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,26.95,,,True,True,19-38 min,4.8
uber_eats,Zona Rosa,commercial,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,24.91,31.14,20.0,True,True,19-38 min,4.8
uber_eats,Zona Rosa,commercial,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,322.4,379.29,15.0,True,True,19-38 min,4.8
uber_eats,Lindavista - Clase Media,middle,Burger King,Whopper,ff_04,112.19,,,True,True,20-40 min,4.6
uber_eats,Lindavista - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,197.66,,,True,True,20-40 min,4.6
uber_eats,Pedregal - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,122.48,153.1,20.0,True,True,17-34 min,3.8
uber_eats,Pedregal - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,212.19,249.64,15.0,True,True,17-34 min,3.8
uber_eats,Pedregal - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,138.4,153.78,10.0,True,True,17-34 min,3.8
uber_eats,Pedregal - Alto Ingreso,premium,Burger King,Whopper,ff_04,101.45,112.72,10.0,True,True,17-34 min,4.9
uber_eats,Pedregal - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,229.14,,,True,True,17-34 min,4.9
uber_eats,Pedregal - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,32.7,,,True,True,17-34 min,4.8
uber_eats,Pedregal - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,25.86,,,True,True,17-34 min,4.8
uber_eats,Pedregal - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,294.89,,,True,True,17-34 min,4.8
uber_eats,Iztapalapa Centro - Popular,popular,McDonald's,Big Mac,ff_01,74.45,,,True,True,22-44 min,4.7
uber_eats,Iztapalapa Centro - Popular,popular,McDonald's,Combo Mediano Big Mac,ff_02,156.31,208.41,25.0,True,True,22-44 min,4.7
uber_eats,Iztapalapa Centro - Popular,popular,McDonald's,McNuggets 10 piezas,ff_03,110.39,,,True,True,22-44 min,4.7
uber_eats,Iztapalapa Centro - Popular,popular,Burger King,Whopper,ff_04,106.96,,,True,True,22-44 min,4.3
uber_eats,Iztapalapa Centro - Popular,popular,Burger King,Combo Whopper Mediano,ff_05,135.96,,,True,True,22-44 min,4.3
uber_eats,Iztapalapa Centro - Popular,popular,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,29.33,,,True,True,22-44 min,4.6
uber_eats,Iztapalapa Centro - Popular,popular,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,11.49,,,True,True,22-44 min,4.6
uber_eats,Iztapalapa Centro - Popular,popular,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,229.77,,,True,True,22-44 min,4.6
uber_eats,Tepito - Popular,popular,McDonald's,Big Mac,ff_01,78.43,,,True,True,22-44 min,4.0
uber_eats,Tepito - Popular,popular,McDonald's,Combo Mediano Big Mac,ff_02,166.86,,,True,True,22-44 min,4.0
uber_eats,Tepito - Popular,popular,McDonald's,McNuggets 10 piezas,ff_03,100.91,,,True,True,22-44 min,4.0
uber_eats,Tepito - Popular,popular,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,19.34,,,True,True,22-44 min,3.8
uber_eats,Tepito - Popular,popular,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,16.7,,,True,True,22-44 min,3.8
uber_eats,Tepito - Popular,popular,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,277.75,,,True,True,22-44 min,3.8
uber_eats,Ciudad Neza - Periférica,peripheral,McDonald's,Big Mac,ff_01,95.63,,,True,True,25-50 min,4.2
uber_eats,Ciudad Neza - Periférica,peripheral,McDonald's,Combo Mediano Big Mac,ff_02,158.5,211.33,25.0,True,True,25-50 min,4.2
uber_eats,Ciudad Neza - Periférica,peripheral,McDonald's,McNuggets 10 piezas,ff_03,79.48,88.31,10.0,True,True,25-50 min,4.2
uber_eats,Ciudad Neza - Periférica,peripheral,Burger King,Whopper,ff_04,85.88,107.35,20.0,True,True,25-50 min,4.4
uber_eats,Ciudad Neza - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,135.74,,,True,True,25-50 min,4.4
uber_eats,Ciudad Neza - Periférica,peripheral,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,24.26,,,True,True,25-50 min,4.5
uber_eats,Ciudad Neza - Periférica,peripheral,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,13.35,,,True,True,25-50 min,4.5
uber_eats,Ciudad Neza - Periférica,peripheral,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,260.85,,,True,True,25-50 min,4.5
uber_eats,Ecatepec - Periférica,peripheral,Burger King,Whopper,ff_04,102.49,,,True,True,25-50 min,3.8
uber_eats,Ecatepec - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,149.82,,,True,True,25-50 min,3.8
uber_eats,Satélite - Clase Media Alta,middle_high,McDonald's,Big Mac,ff_01,110.58,,,True,True,18-36 min,4.8
uber_eats,Satélite - Clase Media Alta,middle_high,McDonald's,Combo Mediano Big Mac,ff_02,148.04,,,True,True,18-36 min,4.8
uber_eats,Satélite - Clase Media Alta,middle_high,McDonald's,McNuggets 10 piezas,ff_03,120.52,,,True,True,18-36 min,4.8
uber_eats,Satélite - Clase Media Alta,middle_high,Burger King,Whopper,ff_04,128.53,,,True,True,18-36 min,4.9
uber_eats,Satélite - Clase Media Alta,middle_high,Burger King,Combo Whopper Mediano,ff_05,149.92,,,True,True,18-36 min,4.9
uber_eats,Satélite - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,33.94,,,True,True,18-36 min,4.9
uber_eats,Satélite - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,12.82,,,True,True,18-36 min,4.9
uber_eats,Satélite - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,189.06,252.08,25.0,True,True,18-36 min,4.9
uber_eats,Interlomas - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,100.34,133.79,25.0,True,True,17-34 min,4.6
uber_eats,Interlomas - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,152.21,,,True,True,17-34 min,4.6
uber_eats,Interlomas - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,130.95,,,True,True,17-34 min,4.6
uber_eats,Interlomas - Alto Ingreso,premium,Burger King,Whopper,ff_04,115.02,,,True,True,17-34 min,4.2
uber_eats,Interlomas - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,166.98,,,True,True,17-34 min,4.2
uber_eats,Interlomas - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,35.32,,,True,True,17-34 min,4.8
uber_eats,Interlomas - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,29.69,,,True,True,17-34 min,4.8
uber_eats,Interlomas - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,249.51,311.89,20.0,True,True,17-34 min,4.8
uber_eats,Universidad - Estudiantil,university,McDonald's,Big Mac,ff_01,79.52,,,True,True,20-40 min,4.6
uber_eats,Universidad - Estudiantil,university,McDonald's,Combo Mediano Big Mac,ff_02,128.79,,,True,True,20-40 min,4.6
uber_eats,Universidad - Estudiantil,university,McDonald's,McNuggets 10 piezas,ff_03,116.99,,,True,True,20-40 min,4.6
uber_eats,Universidad - Estudiantil,university,Burger King,Whopper,ff_04,87.92,,,True,True,20-40 min,3.9
uber_eats,Universidad - Estudiantil,university,Burger King,Combo Whopper Mediano,ff_05,144.44,,,True,True,20-40 min,3.9
uber_eats,IPN Zacatenco - Estudiantil,university,McDonald's,Big Mac,ff_01,104.24,,,True,True,20-40 min,4.4
uber_eats,IPN Zacatenco - Estudiantil,university,McDonald's,Combo Mediano Big Mac,ff_02,131.01,,,True,True,20-40 min,4.4
uber_eats,IPN Zacatenco - Estudiantil,university,McDonald's,McNuggets 10 piezas,ff_03,86.56,,,True,True,20-40 min,4.4
uber_eats,IPN Zacatenco - Estudiantil,university,Burger King,Whopper,ff_04,105.63,,,True,True,20-40 min,4.3
uber_eats,IPN Zacatenco - Estudiantil,university,Burger King,Combo Whopper Mediano,ff_05,186.02,206.69,10.0,True,True,20-40 min,4.3
uber_eats,IPN Zacatenco - Estudiantil,university,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,28.1,,,True,True,20-40 min,4.5
uber_eats,IPN Zacatenco - Estudiantil,university,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,11.53,,,True,True,20-40 min,4.5
uber_eats,IPN Zacatenco - Estudiantil,university,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,253.25,,,True,True,20-40 min,4.5
uber_eats,Azcapotzalco - Clase Media Baja,popular,Burger King,Whopper,ff_04,99.43,,,True,True,22-44 min,3.8
uber_eats,Azcapotzalco - Clase Media Baja,popular,Burger King,Combo Whopper Mediano,ff_05,142.8,168.0,15.0,True,True,22-44 min,3.8
uber_eats,Azcapotzalco - Clase Media Baja,popular,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,22.35,,,True,True,22-44 min,4.4
uber_eats,Azcapotzalco - Clase Media Baja,popular,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,15.96,,,True,True,22-44 min,4.4
uber_eats,Azcapotzalco - Clase Media Baja,popular,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,158.18,,,True,True,22-44 min,4.4
uber_eats,Xochimilco - Periférica,peripheral,Burger King,Whopper,ff_04,80.93,,,True,True,25-50 min,4.5
uber_eats,Xochimilco - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,146.23,172.04,15.0,True,True,25-50 min,4.5
uber_eats,Xochimilco - Periférica,peripheral,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,21.72,,,True,True,25-50 min,4.2
uber_eats,Xochimilco - Periférica,peripheral,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,16.35,,,True,True,25-50 min,4.2
uber_eats,Xochimilco - Periférica,peripheral,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,197.68,247.1,20.0,True,True,25-50 min,4.2
uber_eats,Tacubaya - Clase Media,middle,McDonald's,Big Mac,ff_01,85.47,,,True,True,20-40 min,4.4
uber_eats,Tacubaya - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,180.21,200.23,10.0,True,True,20-40 min,4.4
uber_eats,Tacubaya - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,105.15,,,True,True,20-40 min,4.4
uber_eats,Tacubaya - Clase Media,middle,Burger King,Whopper,ff_04,95.22,,,True,True,20-40 min,4.3
uber_eats,Tacubaya - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,195.65,,,True,True,20-40 min,4.3
uber_eats,Tacubaya - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,24.83,,,True,True,20-40 min,4.0
uber_eats,Tacubaya - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,22.22,,,True,True,20-40 min,4.0
uber_eats,Tacubaya - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,225.37,,,True,True,20-40 min,4.0
uber_eats,Mixcoac - Clase Media,middle,McDonald's,Big Mac,ff_01,96.18,,,True,True,20-40 min,4.4
uber_eats,Mixcoac - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,175.19,,,True,True,20-40 min,4.4
uber_eats,Mixcoac - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,116.08,145.1,20.0,True,True,20-40 min,4.4
uber_eats,Mixcoac - Clase Media,middle,Burger King,Whopper,ff_04,116.39,,,True,True,20-40 min,4.2
uber_eats,Mixcoac - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,152.14,,,True,True,20-40 min,4.2
uber_eats,Mixcoac - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,22.28,,,True,True,20-40 min,3.8
uber_eats,Mixcoac - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,18.23,,,True,True,20-40 min,3.8
uber_eats,Mixcoac - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,175.97,219.96,20.0,True,True,20-40 min,3.8
uber_eats,Tláhuac - Periférica,peripheral,McDonald's,Big Mac,ff_01,68.5,,,True,True,25-50 min,4.3
uber_eats,Tláhuac - Periférica,peripheral,McDonald's,Combo Mediano Big Mac,ff_02,158.54,,,True,True,25-50 min,4.3
uber_eats,Tláhuac - Periférica,peripheral,McDonald's,McNuggets 10 piezas,ff_03,99.67,,,True,True,25-50 min,4.3
uber_eats,Tláhuac - Periférica,peripheral,Burger King,Whopper,ff_04,100.25,,,True,True,25-50 min,4.3
uber_eats,Tláhuac - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,140.96,,,True,True,25-50 min,4.3
uber_eats,Tláhuac - Periférica,peripheral,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,21.3,,,True,True,25-50 min,4.8
uber_eats,Tláhuac - Periférica,peripheral,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,12.77,15.02,15.0,True,True,25-50 min,4.8
uber_eats,Tláhuac - Periférica,peripheral,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,210.2,262.75,20.0,True,True,25-50 min,4.8
uber_eats,Cuajimalpa - Clase Media Alta,middle_high,Burger King,Whopper,ff_04,103.12,,,True,True,18-36 min,4.4
uber_eats,Cuajimalpa - Clase Media Alta,middle_high,Burger King,Combo Whopper Mediano,ff_05,206.77,275.69,25.0,True,True,18-36 min,4.4
didi_food,Polanco - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,88.48,,,True,True,23-42 min,4.4
didi_food,Polanco - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,159.19,176.88,10.0,True,True,23-42 min,4.4
didi_food,Polanco - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,98.11,,,True,True,23-42 min,4.4
didi_food,Polanco - Alto Ingreso,premium,Burger King,Whopper,ff_04,107.59,,,True,True,23-42 min,4.4
didi_food,Polanco - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,175.7,,,True,True,23-42 min,4.4
didi_food,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,32.79,,,True,True,23-42 min,4.3
didi_food,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,17.16,,,True,True,23-42 min,4.3
didi_food,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,240.57,,,True,True,23-42 min,4.3
didi_food,Condesa - Alto Ingreso,premium,Burger King,Whopper,ff_04,99.51,,,True,True,23-42 min,4.0
didi_food,Condesa - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,197.4,,,True,True,23-42 min,4.0
didi_food,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,34.21,45.61,25.0,True,True,23-42 min,3.8
didi_food,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,12.74,,,True,True,23-42 min,3.8
didi_food,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,364.36,,,True,True,23-42 min,3.8
didi_food,Roma Norte - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,96.56,,,True,True,23-42 min,4.7
didi_food,Roma Norte - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,153.36,,,True,True,23-42 min,4.7
didi_food,Roma Norte - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,140.65,,,True,True,23-42 min,4.7
didi_food,Roma Norte - Alto Ingreso,premium,Burger King,Whopper,ff_04,119.58,,,True,True,23-42 min,4.7
didi_food,Roma Norte - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,169.61,,,True,True,23-42 min,4.7
didi_food,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,Big Mac,ff_01,84.91,,,True,True,23-42 min,4.4
didi_food,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,Combo Mediano Big Mac,ff_02,156.6,,,True,True,23-42 min,4.4
didi_food,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,McNuggets 10 piezas,ff_03,124.05,165.4,25.0,True,True,23-42 min,4.4
